USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
745310,93065,USAF ACADEMY AIRSTRIP AIRPORT,US,CO,KAFF,+38.967,-104.817,+2003.2,19671127,20240405
745430,93978,PRATT INDUSTRIAL AIRPORT,US,KS,KPTT,+37.702,-098.747,+0595.0,20060101,20240405
745431,03998,TRI-CITY AIRPORT,US,KS,KPPF,+37.328,-095.504,+0263.9,20060101,20240406
745700,13840,WRIGHT-PATTERSON AFB AIRPORT,US,OH,KFFO,+39.833,-084.050,+0250.9,19360501,20240406
745940,13705,ANDREWS AIR FORCE BASE AIRPORT,US,MD,KADW,+38.817,-076.867,+0086.0,19430619,20240405
745944,93784,BALTIMORE DOWNTOWN,US,MD,KDMH,+39.281,-076.611,+0006.1,19990102,20240405
745946,93786,OCEAN CITY MUNICIPAL ARTP,US,MD,KOXB,+38.309,-075.123,+0001.8,20060101,20240405
745966,03726,CAPE MAY COUNTY AIRPORT,US,NJ,KWWD,+39.008,-074.908,+0007.0,20060101,20240405
745980,13702,LANGLEY AFB AIRPORT,US,VA,KLFI,+37.083,-076.360,+0003.1,19361001,20240405
745985,63806,BLUE RIDGE AIRPORT,US,VA,KMTV,+36.631,-080.018,+0286.8,20060101,20240405
746110,03182,BICYCLE LAKE FORT IRWIN AAF,US,CA,KBYS,+35.283,-116.633,+0075.6,20050814,20240405
746120,93104,CHINA LAKE,US,CA,KNID,+35.686,-117.691,+0680.0,19730101,20240405
746140,23112,NELLIS AFB AIRPORT,US,NV,KLSV,+36.250,-115.033,+0570.0,20050101,20240405
746141,23141,INDIAN SPRING AUX AIRFIELD,US,NV,KINS,+36.583,-115.683,+0954.9,20050103,20240405
746380,99999,MELROSE GUNNERY RANGE,US,NM,K4MR,+34.295,-103.786,+1326.0,20101213,20240404
746410,13975,GAGE AIRPORT,US,OK,KGAG,+36.297,-099.769,+0665.9,20100709,20240404
746710,13806,CAMPBELL AAF AIRPORT,US,KY,KHOP,+36.667,-087.483,+0174.7,19430715,20240405
746716,93808,BOW GRN-WARREN CO. RGNL AP,US,KY,KBWG,+36.965,-086.424,+0159.3,19730101,20240405
746720,99999,SABRE AHP,US,TN,KEOD,+36.568,-087.481,+0181.1,20010815,20240404
746925,03741,WARREN FIELD AIRPORT,US,NC,KOCW,+35.570,-077.050,+0011.6,20060101,20240405
746929,03702,DUPLIN COUNTY AIRPORT,US,NC,KDPL,+35.000,-077.982,+0041.8,20060101,20240405
746930,93737,SIMMONS AAF AIRPORT,US,NC,KFBG,+35.133,-078.933,+0074.4,19610701,20240405
746935,03709,ASHEBORO MUNICIPAL AIRPORT,US,NC,KHBI,+35.654,-079.895,+0205.1,20060101,20240405
746936,03712,HARNETT COUNTY AIRPORT,US,NC,KHRJ,+35.379,-078.734,+0060.4,20060101,20240405
746940,03708,GOLDSBORO-WAYNE MUNI ARPT,US,NC,KGWW,+35.460,-077.965,+0040.8,20060101,20240405
746941,00389,MONROE COUNTY AIRPORT,US,MS,KM40,+33.873,-088.490,+0069.2,20120110,20240405
747020,23110,NAVAL AIR STATION,US,CA,KNLC,+36.333,-119.950,+0070.7,19610701,20240405
747040,03102,ONTARIO INTERNATIONAL ARPT,US,CA,KONT,+34.053,-117.577,+0281.6,20050101,20240405
747043,03165,EL MONTE AIRPORT,US,CA,KEMT,+34.083,-118.033,+0090.2,20060101,20240405
747185,03144,IMPERIAL COUNTY AIRPORT,US,CA,KIPL,+32.835,-115.577,-0016.8,20060101,20240405
747187,03104,DESERT RESORTS RGNL ARPT,US,CA,KTRM,+33.632,-116.164,-0036.0,19430712,20240405
747188,23158,BLYTHE AIRPORT,US,CA,KBLH,+33.619,-114.715,+0120.4,19420613,20240405
747320,23002,HOLLOMAN AFB AIRPORT,US,NM,KHMN,+32.850,-106.100,+1267.4,20060103,20240405
747335,03059,SONORA MUNICIPAL AIRPORT,US,TX,KSOA,+30.586,-100.649,+0652.3,20060101,20240405
747355,53997,COMANCHE COUNTY-CITY AIRPORT,US,TX,KMKN,+31.917,-098.600,+0423.1,20060101,20240405
